start_timestamp_utc,end_timestamp_utc,charged_value,drained_value,most_recent_value,last_value_timestamp_utc,last_value
2026-01-26T00:00:00.0,2026-01-27T00:00:00.0,63,58,34,2026-01-26T23:00:00+00:00,34
2026-01-27T00:00:00.0,2026-01-28T00:00:00.0,69,53,42,2026-01-27T21:48:00+00:00,42
2026-01-28T00:00:00.0,2026-01-29T00:00:00.0,54,68,33,2026-01-28T22:03:00+00:00,33
2026-01-29T00:00:00.0,2026-01-30T00:00:00.0,41,61,18,2026-01-29T23:51:00+00:00,18
2026-01-30T00:00:00.0,2026-01-31T00:00:00.0,63,44,35,2026-01-30T21:24:00+00:00,35
2026-01-31T00:00:00.0,2026-02-01T00:00:00.0,65,59,42,2026-01-31T23:54:00+00:00,42
2026-02-01T00:00:00.0,2026-02-02T00:00:00.0,57,81,19,2026-02-01T23:03:00+00:00,19
2026-02-02T00:00:00.0,2026-02-02T07:46:00.0,43,2,62,2026-02-02T07:30:00+00:00,62
2026-02-03T00:00:00.0,2026-02-03T07:26:00.0,49,6,89,2026-02-03T06:51:00+00:00,89
2026-02-04T00:00:00.0,2026-02-04T07:05:00.0,48,4,77,2026-02-04T06:42:00+00:00,77
2026-02-05T00:00:00.0,2026-02-06T00:00:00.0,50,62,22,2026-02-05T23:45:00+00:00,22
2026-02-06T00:00:00.0,2026-02-07T00:00:00.0,61,60,23,2026-02-06T23:51:00+00:00,23
2026-02-07T00:00:00.0,2026-02-08T00:00:00.0,79,49,53,2026-02-07T23:57:00+00:00,53
2026-02-08T00:00:00.0,2026-02-09T00:00:00.0,51,81,19,2026-02-08T23:18:00+00:00,19
2026-02-09T00:00:00.0,2026-02-10T00:00:00.0,55,46,24,2026-02-09T22:42:00+00:00,24
2026-02-10T00:00:00.0,2026-02-10T11:20:00.0,58,25,63,2026-02-10T11:15:00+00:00,63
2026-02-11T00:00:00.0,2026-02-11T07:18:00.0,53,1,85,2026-02-11T06:48:00+00:00,85
2026-02-12T00:00:00.0,2026-02-13T00:00:00.0,75,38,61,2026-02-12T23:48:00+00:00,61
2026-02-13T00:00:00.0,2026-02-13T07:11:00.0,35,5,94,2026-02-13T06:30:00+00:00,94
2026-02-14T00:00:00.0,2026-02-15T00:00:00.0,70,56,24,2026-02-14T21:12:00+00:00,24
2026-02-15T00:00:00.0,2026-02-15T07:31:00.0,55,1,100,2026-02-15T05:45:00+00:00,100
