date,last_night_avg_hrv_ms,last_night_5min_high_hrv_ms,weekly_avg_hrv_ms,baseline_balanced_low_ms,baseline_balanced_upper_ms,status,feedback
2025-08-01,71,99,62,,,NONE,ONBOARDING_1
2025-08-02,39,74,59,,,NONE,ONBOARDING_1
2025-08-03,55,93,62,,,NONE,ONBOARDING_1
2025-08-04,62,89,62,,,NONE,ONBOARDING_1
2025-08-05,66,94,60,,,NONE,ONBOARDING_1
2025-08-06,71,104,59,,,NONE,ONBOARDING_1
2025-08-07,69,103,61,,,NONE,ONBOARDING_1
2025-08-08,32,48,54,,,NONE,ONBOARDING_1
2025-08-09,72,101,59,,,NONE,ONBOARDING_1
2025-08-10,62,100,60,,,NONE,ONBOARDING_1
2025-08-11,65,96,61,,,NONE,ONBOARDING_1
2025-08-12,83,107,63,52,83,BALANCED,HRV_BALANCED_5
2025-08-13,59,90,61,52,84,BALANCED,HRV_BALANCED_6
2025-08-14,62,81,60,53,84,BALANCED,HRV_BALANCED_7
2025-08-15,69,102,67,50,86,BALANCED,HRV_BALANCED_8
2025-08-16,66,100,66,51,87,BALANCED,HRV_BALANCED_5
2025-08-17,64,87,67,51,86,BALANCED,HRV_BALANCED_6
2025-08-18,72,107,67,52,86,BALANCED,HRV_BALANCED_7
2025-08-19,57,85,64,52,88,BALANCED,HRV_BALANCED_8
2025-08-20,54,92,63,53,87,BALANCED,HRV_BALANCED_5
2025-08-21,55,96,62,53,87,BALANCED,HRV_BALANCED_6
2025-08-22,38,81,57,53,87,BALANCED,HRV_BALANCED_3
2025-08-23,48,94,54,54,87,BALANCED,HRV_BALANCED_3
2025-08-24,53,88,53,54,86,UNBALANCED,HRV_UNBALANCED_12
2025-08-25,51,121,50,54,86,UNBALANCED,HRV_UNBALANCED_12
2025-08-26,56,102,50,54,86,UNBALANCED,HRV_UNBALANCED_11
2025-08-27,41,64,48,54,85,LOW,HRV_LOW_7
2025-08-28,39,80,46,54,84,LOW,HRV_LOW_7
2025-08-29,41,79,46,53,84,LOW,HRV_LOW_6
2025-08-30,75,105,49,52,84,UNBALANCED,HRV_UNBALANCED_11
2025-08-31,51,85,49,52,83,UNBALANCED,HRV_UNBALANCED_12
2025-09-01,61,116,51,52,82,UNBALANCED,HRV_UNBALANCED_11
2025-09-02,64,101,52,53,82,UNBALANCED,HRV_UNBALANCED_11
2025-09-03,61,86,55,51,82,BALANCED,HRV_BALANCED_4
2025-09-04,70,106,60,51,81,BALANCED,HRV_BALANCED_8
2025-09-05,78,99,65,50,81,BALANCED,HRV_BALANCED_5
2025-09-06,65,88,64,51,82,BALANCED,HRV_BALANCED_6
2025-09-07,60,85,65,50,81,BALANCED,HRV_BALANCED_7
2025-09-08,75,95,67,51,81,BALANCED,HRV_BALANCED_8
2025-09-09,71,104,68,51,81,BALANCED,HRV_BALANCED_5
2025-09-10,49,79,66,51,81,BALANCED,HRV_BALANCED_3
2025-09-11,35,44,60,51,81,BALANCED,HRV_BALANCED_2
2025-09-12,71,109,59,52,82,BALANCED,HRV_BALANCED_2
2025-09-13,78,115,61,52,82,BALANCED,HRV_BALANCED_2
2025-09-14,39,49,57,52,82,BALANCED,HRV_BALANCED_3
2025-09-15,73,109,57,52,82,BALANCED,HRV_BALANCED_7
2025-09-16,81,112,58,52,82,BALANCED,HRV_BALANCED_8
2025-09-17,71,110,61,52,82,BALANCED,HRV_BALANCED_5
2025-09-18,66,99,67,51,82,BALANCED,HRV_BALANCED_6
2025-09-19,60,85,65,52,83,BALANCED,HRV_BALANCED_7
2025-09-20,44,90,60,52,83,BALANCED,HRV_BALANCED_2
2025-09-21,43,87,61,52,83,BALANCED,HRV_BALANCED_2
2025-09-22,62,89,60,52,84,BALANCED,HRV_BALANCED_2
2025-09-23,62,107,57,52,84,BALANCED,HRV_BALANCED_7
2025-09-24,68,99,57,52,84,BALANCED,HRV_BALANCED_2
2025-09-25,51,88,55,52,84,BALANCED,HRV_BALANCED_3
2025-09-26,56,93,54,52,84,BALANCED,HRV_BALANCED_6
2025-09-27,35,64,53,52,84,BALANCED,HRV_BALANCED_3
2025-09-28,35,70,51,52,84,UNBALANCED,HRV_UNBALANCED_12
2025-09-29,60,99,51,52,84,UNBALANCED,HRV_UNBALANCED_11
2025-09-30,46,79,49,52,83,UNBALANCED,HRV_UNBALANCED_12
2025-10-01,68,102,49,52,83,UNBALANCED,HRV_UNBALANCED_11
2025-10-02,61,89,50,52,83,UNBALANCED,HRV_UNBALANCED_11
2025-10-03,43,79,48,52,82,UNBALANCED,HRV_UNBALANCED_8
2025-10-04,67,97,53,52,83,BALANCED,HRV_BALANCED_1
2025-10-05,55,90,56,51,83,BALANCED,HRV_BALANCED_2
2025-10-06,72,100,58,51,83,BALANCED,HRV_BALANCED_2
2025-10-07,55,87,59,51,82,BALANCED,HRV_BALANCED_5
2025-10-08,83,118,61,51,82,BALANCED,HRV_BALANCED_6
2025-10-09,69,95,62,51,82,BALANCED,HRV_BALANCED_7
2025-10-10,68,105,66,51,82,BALANCED,HRV_BALANCED_8
2025-10-11,50,77,64,51,82,BALANCED,HRV_BALANCED_2
2025-10-12,66,104,65,51,82,BALANCED,HRV_BALANCED_2
2025-10-13,75,101,66,51,82,BALANCED,HRV_BALANCED_2
2025-10-14,50,79,65,51,81,BALANCED,HRV_BALANCED_2
2025-10-15,69,107,63,51,82,BALANCED,HRV_BALANCED_2
2025-10-16,66,91,63,51,82,BALANCED,HRV_BALANCED_2
2025-10-17,61,106,62,51,82,BALANCED,HRV_BALANCED_2
2025-10-18,53,89,62,51,82,BALANCED,HRV_BALANCED_8
2025-10-19,69,119,63,52,82,BALANCED,HRV_BALANCED_5
2025-10-20,68,97,62,52,83,BALANCED,HRV_BALANCED_6
2025-10-21,,,64,51,82,BALANCED,HRV_BALANCED_7
2025-10-22,53,84,61,52,82,BALANCED,HRV_BALANCED_8
2025-10-23,39,70,56,52,82,BALANCED,HRV_BALANCED_3
2025-10-24,76,112,58,52,82,BALANCED,HRV_BALANCED_6
2025-10-25,49,77,58,52,82,BALANCED,HRV_BALANCED_3
2025-10-26,63,102,57,52,82,BALANCED,HRV_BALANCED_8
2025-10-27,51,83,54,52,82,BALANCED,HRV_BALANCED_3
2025-10-28,50,86,53,52,82,BALANCED,HRV_BALANCED_3
2025-10-29,60,101,54,52,82,BALANCED,HRV_BALANCED_7
2025-10-30,71,97,59,52,82,BALANCED,HRV_BALANCED_8
2025-10-31,65,112,58,52,82,BALANCED,HRV_BALANCED_5
2025-11-01,43,66,57,52,82,BALANCED,HRV_BALANCED_3
2025-11-02,54,84,56,52,82,BALANCED,HRV_BALANCED_7
2025-11-03,46,75,55,52,81,BALANCED,HRV_BALANCED_3
2025-11-04,54,91,55,52,81,BALANCED,HRV_BALANCED_5
2025-11-05,53,81,54,52,81,BALANCED,HRV_BALANCED_6
2025-11-06,33,55,49,52,81,UNBALANCED,HRV_UNBALANCED_12
2025-11-07,26,42,43,52,81,LOW,HRV_LOW_7
2025-11-08,37,68,42,52,81,LOW,HRV_LOW_7
2025-11-09,30,53,38,52,81,LOW,HRV_LOW_7
2025-11-10,28,67,36,52,80,LOW,HRV_LOW_7
2025-11-11,48,70,35,52,80,LOW,HRV_LOW_7
2025-11-12,44,66,34,52,80,LOW,HRV_LOW_7
2025-11-13,50,74,36,51,80,LOW,HRV_LOW_6
2025-11-14,49,72,40,50,81,LOW,HRV_LOW_6
2025-11-15,61,93,43,49,81,LOW,HRV_LOW_5
2025-11-16,55,88,47,49,82,UNBALANCED,HRV_UNBALANCED_11
2025-11-17,65,96,53,48,82,BALANCED,HRV_BALANCED_4
2025-11-18,69,94,56,48,82,BALANCED,HRV_BALANCED_7
2025-11-19,68,100,59,47,81,BALANCED,HRV_BALANCED_8
2025-11-20,64,86,61,47,81,BALANCED,HRV_BALANCED_5
2025-11-21,27,42,56,47,81,BALANCED,HRV_BALANCED_3
2025-11-22,48,66,54,47,80,BALANCED,HRV_BALANCED_7
2025-11-23,61,88,55,48,80,BALANCED,HRV_BALANCED_8
2025-11-24,70,136,56,48,80,BALANCED,HRV_BALANCED_5
2025-11-25,55,82,54,48,80,BALANCED,HRV_BALANCED_6
2025-11-26,47,71,51,48,81,BALANCED,HRV_BALANCED_3
2025-11-27,62,93,51,48,81,BALANCED,HRV_BALANCED_2
2025-11-28,52,87,56,47,81,BALANCED,HRV_BALANCED_5
2025-11-29,34,60,53,47,81,BALANCED,HRV_BALANCED_3
2025-11-30,51,70,52,47,81,BALANCED,HRV_BALANCED_7
2025-12-01,65,89,51,47,81,BALANCED,HRV_BALANCED_8
2025-12-02,50,71,51,47,81,BALANCED,HRV_BALANCED_2
2025-12-03,60,79,52,47,80,BALANCED,HRV_BALANCED_6
2025-12-04,43,74,50,47,80,BALANCED,HRV_BALANCED_3
2025-12-05,52,81,50,47,80,BALANCED,HRV_BALANCED_2
2025-12-06,51,82,53,47,80,BALANCED,HRV_BALANCED_2
2025-12-07,59,89,54,47,79,BALANCED,HRV_BALANCED_6
2025-12-08,45,75,51,47,79,BALANCED,HRV_BALANCED_3
2025-12-09,59,93,53,47,79,BALANCED,HRV_BALANCED_8
2025-12-10,54,81,52,47,78,BALANCED,HRV_BALANCED_2
2025-12-11,50,82,53,46,78,BALANCED,HRV_BALANCED_2
2025-12-12,48,71,52,46,78,BALANCED,HRV_BALANCED_7
2025-12-13,50,77,52,46,78,BALANCED,HRV_BALANCED_8
2025-12-14,30,55,47,46,78,BALANCED,HRV_BALANCED_2
2025-12-15,59,100,49,46,77,BALANCED,HRV_BALANCED_6
2025-12-16,67,96,50,46,77,BALANCED,HRV_BALANCED_7
2025-12-17,63,93,51,46,76,BALANCED,HRV_BALANCED_8
2025-12-18,68,93,53,46,76,BALANCED,HRV_BALANCED_2
2025-12-19,45,76,53,46,76,BALANCED,HRV_BALANCED_3
2025-12-20,44,73,52,46,76,BALANCED,HRV_BALANCED_3
2025-12-21,,,57,45,76,BALANCED,HRV_BALANCED_8
2025-12-22,54,77,56,45,75,BALANCED,HRV_BALANCED_5
2025-12-23,67,99,56,46,76,BALANCED,HRV_BALANCED_6
2025-12-24,51,72,54,46,76,BALANCED,HRV_BALANCED_7
2025-12-25,33,59,48,46,76,BALANCED,HRV_BALANCED_3
2025-12-26,48,74,48,45,75,BALANCED,HRV_BALANCED_5
2025-12-27,55,82,50,45,75,BALANCED,HRV_BALANCED_6
2025-12-28,45,77,49,45,75,BALANCED,HRV_BALANCED_7
2025-12-29,46,69,48,45,75,BALANCED,HRV_BALANCED_8
2025-12-30,53,81,47,45,75,BALANCED,HRV_BALANCED_5
