date,total_ml,goal_ml,sweat_loss_ml
2025-08-01,0.0,4944.0,2144.0
2025-08-02,0.0,3340.0,540.0
2025-08-03,0.0,3449.0,649.0
2025-08-04,0.0,3430.0,630.0
2025-08-05,0.0,4009.0,1209.0
2025-08-06,0.0,3207.0,407.0
2025-08-07,0.0,3902.0,1102.0
2025-08-08,,2800.0,
2025-08-09,0.0,3793.0,993.0
2025-08-10,0.0,3946.0,1146.0
2025-08-11,0.0,3607.0,807.0
2025-08-12,0.0,3958.0,1158.0
2025-08-13,0.0,3253.0,453.0
2025-08-14,,2800.0,
2025-08-15,0.0,3837.0,1037.0
2025-08-16,,2800.0,
2025-08-17,0.0,3621.0,821.0
2025-08-18,0.0,3324.0,524.0
2025-08-19,0.0,3313.0,513.0
2025-08-20,0.0,3480.0,680.0
2025-08-21,0.0,3325.0,525.0
2025-08-22,,2800.0,
2025-08-23,0.0,3178.0,378.0
2025-08-24,0.0,3190.0,390.0
2025-08-25,0.0,3215.0,415.0
2025-08-26,,2800.0,
2025-08-27,,2800.0,
2025-08-28,0.0,3314.0,514.0
2025-08-29,,2800.0,
2025-08-30,,2800.0,
2025-08-31,,2800.0,
2025-09-01,0.0,3393.0,593.0
2025-09-02,,2800.0,
2025-09-03,0.0,3516.0,716.0
2025-09-04,,2800.0,
2025-09-05,0.0,3666.0,866.0
2025-09-06,0.0,3326.0,526.0
2025-09-07,,2800.0,
2025-09-08,0.0,3842.0,1042.0
2025-09-09,0.0,3997.0,1197.0
2025-09-10,0.0,4400.0,1600.0
2025-09-11,,2800.0,
2025-09-12,,2800.0,
2025-09-13,,2800.0,
2025-09-14,,2800.0,
2025-09-15,0.0,3159.0,359.0
2025-09-16,,2800.0,
2025-09-17,,2800.0,
2025-09-18,,2800.0,
2025-09-19,0.0,5819.0,3019.0
2025-09-20,,2800.0,
2025-09-21,,2800.0,
2025-09-22,,2800.0,
2025-09-23,0.0,3375.0,575.0
2025-09-24,,2800.0,
2025-09-25,,2800.0,
2025-09-26,0.0,3231.0,431.0
2025-09-27,,2800.0,
2025-09-28,0.0,3409.0,609.0
2025-09-29,0.0,3315.0,515.0
2025-09-30,0.0,3307.0,507.0
2025-10-01,0.0,3084.0,284.0
2025-10-02,0.0,4337.0,1537.0
2025-10-03,0.0,3413.0,613.0
2025-10-04,0.0,3500.0,700.0
2025-10-05,,2800.0,
2025-10-06,,2800.0,
2025-10-07,0.0,3733.0,933.0
2025-10-08,0.0,3450.0,650.0
2025-10-09,,2800.0,
2025-10-10,0.0,6890.0,4090.0
2025-10-11,0.0,4716.0,1916.0
2025-10-12,,2800.0,
2025-10-13,0.0,3686.0,886.0
2025-10-14,,2800.0,
2025-10-15,,2800.0,
2025-10-16,0.0,3173.0,373.0
2025-10-17,,2800.0,
2025-10-18,,2800.0,
2025-10-19,,2800.0,
2025-10-20,,2800.0,
2025-10-21,,2800.0,
2025-10-22,,2800.0,
2025-10-23,0.0,3466.0,666.0
2025-10-24,0.0,4183.0,1383.0
2025-10-25,,2800.0,
2025-10-26,0.0,3378.0,578.0
2025-10-27,0.0,3438.0,638.0
2025-10-28,,2800.0,
2025-10-29,0.0,3466.0,666.0
2025-10-30,0.0,3559.0,759.0
2025-10-31,,2800.0,
2025-11-01,,2800.0,
2025-11-02,0.0,4139.0,1339.0
2025-11-03,0.0,3402.0,602.0
2025-11-04,0.0,3616.0,816.0
2025-11-05,0.0,3264.0,464.0
2025-11-06,0.0,6302.0,3502.0
2025-11-07,0.0,4767.0,1967.0
2025-11-08,0.0,6827.0,4027.0
2025-11-09,0.0,6467.0,3667.0
2025-11-10,,2800.0,
2025-11-11,0.0,3716.0,916.0
2025-11-12,0.0,3091.0,291.0
2025-11-13,,2800.0,
2025-11-14,0.0,3367.0,567.0
2025-11-15,,2800.0,
2025-11-16,0.0,3416.0,616.0
2025-11-17,0.0,3622.0,822.0
2025-11-18,0.0,3366.0,566.0
2025-11-19,,2800.0,
2025-11-20,,2800.0,
2025-11-21,0.0,3447.0,647.0
2025-11-22,,2800.0,
2025-11-23,0.0,3755.0,955.0
2025-11-24,,2800.0,
2025-11-25,0.0,3365.0,565.0
2025-11-26,0.0,3529.0,729.0
2025-11-27,,2800.0,
2025-11-28,0.0,3582.0,782.0
2025-11-29,,2800.0,
2025-11-30,,2800.0,
2025-12-01,0.0,3660.0,860.0
2025-12-02,,2800.0,
2025-12-03,0.0,3122.0,322.0
2025-12-04,0.0,3466.0,666.0
2025-12-05,0.0,3422.0,622.0
2025-12-06,,2800.0,
2025-12-07,,2800.0,
2025-12-08,0.0,3383.0,583.0
2025-12-09,0.0,3567.0,767.0
2025-12-10,0.0,3333.0,533.0
2025-12-11,,2800.0,
2025-12-12,0.0,3038.0,238.0
2025-12-13,0.0,3669.0,869.0
2025-12-14,,2800.0,
2025-12-15,0.0,3356.0,556.0
2025-12-16,0.0,3261.0,461.0
2025-12-17,0.0,3449.0,649.0
2025-12-18,,2800.0,
2025-12-19,0.0,3633.0,833.0
2025-12-20,,2800.0,
2025-12-21,,2800.0,
2025-12-22,0.0,3256.0,456.0
2025-12-23,0.0,3554.0,754.0
2025-12-24,0.0,3620.0,820.0
2025-12-25,0.0,3405.0,605.0
2025-12-26,,2800.0,
2025-12-27,,2800.0,
2025-12-28,,2800.0,
2025-12-29,0.0,3538.0,738.0
2025-12-30,0.0,3331.0,531.0
2025-12-31,0.0,3817.0,1017.0
2026-01-01,,2800.0,
2026-01-02,0.0,3558.0,758.0
2026-01-03,,2800.0,
2026-01-04,0.0,4014.0,1214.0
2026-01-05,0.0,3316.0,516.0
2026-01-06,0.0,3519.0,719.0
2026-01-07,0.0,3298.0,498.0
2026-01-08,,2800.0,
2026-01-09,0.0,3511.0,711.0
2026-01-10,0.0,3477.0,677.0
2026-01-11,,2800.0,
2026-01-12,0.0,3748.0,948.0
2026-01-13,0.0,3489.0,689.0
2026-01-14,0.0,3719.0,919.0
2026-01-15,,2800.0,
2026-01-16,0.0,3394.0,594.0
2026-01-17,,2800.0,
2026-01-18,0.0,4317.0,1517.0
2026-01-19,,2800.0,
2026-01-20,0.0,3378.0,578.0
2026-01-21,,2800.0,
2026-01-22,0.0,3591.0,791.0
2026-01-23,,2800.0,
2026-01-24,0.0,3356.0,556.0
2026-01-25,0.0,4008.0,1208.0
2026-01-26,0.0,3083.0,283.0
2026-01-27,,2800.0,
2026-01-28,,2800.0,
2026-01-29,,2800.0,
2026-01-30,,2800.0,
2026-01-31,0.0,3579.0,779.0
2026-02-01,0.0,4047.0,1247.0
2026-02-02,,2800.0,
2026-02-03,,2800.0,
2026-02-04,,2800.0,
2026-02-05,0.0,3376.0,576.0
2026-02-06,,2800.0,
2026-02-07,,2800.0,
2026-02-08,0.0,4104.0,1304.0
2026-02-09,0.0,3333.0,533.0
2026-02-10,,2800.0,
2026-02-11,,2800.0,
2026-02-12,,2800.0,
2026-02-13,,2800.0,
2026-02-14,,2800.0,
2026-02-15,,2800.0,
2026-02-16,,2800.0,
2026-02-17,,2800.0,
2026-02-18,,2800.0,
2026-02-19,,2800.0,
2026-02-20,,2800.0,
2026-02-21,,2800.0,
2026-02-22,0.0,4164.0,1364.0
2026-02-23,,2800.0,
2026-02-24,,2800.0,
2026-02-25,0.0,3644.0,844.0
2026-02-26,,2800.0,
2026-02-27,,2800.0,
2026-02-28,,2800.0,
2026-03-01,,2800.0,
2026-03-02,,2800.0,
2026-03-03,,2800.0,
2026-03-04,0.0,3912.0,1112.0
2026-03-05,,2800.0,
2026-03-06,,2800.0,
2026-03-07,0.0,3250.0,450.0
2026-03-08,0.0,3641.0,841.0
2026-03-09,,2800.0,
2026-03-10,,2800.0,
2026-03-11,,2800.0,
2026-03-12,,2800.0,
2026-03-13,,2800.0,
2026-03-14,0.0,4070.0,1270.0
2026-03-15,0.0,4712.0,1912.0
2026-03-16,,2800.0,
2026-03-17,,2800.0,
2026-03-18,0.0,3592.0,792.0
2026-03-19,,2800.0,
2026-03-20,0.0,3683.0,883.0
2026-03-21,,2800.0,
2026-03-22,0.0,4100.0,1300.0
2026-03-23,,2800.0,
2026-03-24,0.0,3465.0,665.0
2026-03-25,0.0,3165.0,365.0
2026-03-26,0.0,3212.0,412.0
2026-03-27,,2800.0,
2026-03-28,,2800.0,
2026-03-29,0.0,4618.0,1818.0
2026-03-30,0.0,3266.0,466.0
2026-03-31,,2800.0,
2026-04-01,0.0,3378.0,578.0
2026-04-02,,2800.0,
2026-04-03,,2800.0,
2026-04-04,0.0,3727.0,927.0
2026-04-05,,2800.0,
2026-04-06,,2800.0,
2026-04-07,,2800.0,
2026-04-08,,2800.0,
2026-04-09,,2800.0,
2026-04-10,0.0,3353.0,553.0
2026-04-11,,2800.0,
2026-04-12,,2800.0,
2026-04-13,,2800.0,
2026-04-14,0.0,3396.0,596.0
2026-04-15,0.0,3682.0,882.0
2026-04-16,0.0,3440.0,640.0
2026-04-17,0.0,3341.0,541.0
2026-04-18,,2800.0,
2026-04-19,0.0,4222.0,1422.0
2026-04-20,,2800.0,
2026-04-21,,2800.0,
2026-04-22,,2800.0,
2026-04-23,,2800.0,
2026-04-24,,2800.0,
2026-04-25,,2800.0,
2026-04-26,0.0,4478.0,1678.0
2026-04-27,,2800.0,
2026-04-28,0.0,3728.0,928.0
2026-04-29,,2800.0,
2026-04-30,0.0,3355.0,555.0
2026-05-01,,2800.0,
2026-05-02,,2800.0,
2026-05-03,0.0,4980.0,2180.0
2026-05-04,,2800.0,
2026-05-05,,2800.0,
2026-05-06,,2800.0,
2026-05-07,,2800.0,
2026-05-08,0.0,3657.0,857.0
2026-05-09,,2800.0,
2026-05-10,,2800.0,
2026-05-11,,2800.0,
2026-05-12,,2800.0,
2026-05-13,,2800.0,
2026-05-14,0.0,3478.0,678.0
2026-05-15,0.0,3367.0,567.0
2026-05-16,0.0,3621.0,821.0
2026-05-17,0.0,3670.0,870.0
2026-05-18,,2800.0,
2026-05-19,,2800.0,
2026-05-20,0.0,3167.0,367.0
2026-05-21,0.0,4180.0,1380.0
2026-05-22,0.0,3522.0,722.0
2026-05-23,,2800.0,
2026-05-24,0.0,4851.0,2051.0
2026-05-25,,2800.0,
2026-05-26,,2800.0,
2026-05-27,0.0,3402.0,602.0
2026-05-28,0.0,4077.0,1277.0
2026-05-29,,2800.0,
2026-05-30,0.0,3476.0,676.0
2026-05-31,,2800.0,
2026-06-01,0.0,3948.0,1148.0
2026-06-02,0.0,3694.0,894.0
2026-06-03,,2800.0,
