date,average_spo2,lowest_spo2,highest_spo2
2025-08-10,,95,
2026-02-11,95.0,89,
2026-02-12,95.0,86,
2026-02-13,95.0,82,
2026-02-14,96.0,86,
2026-02-15,96.0,88,
2026-02-16,94.0,84,
2026-02-17,97.0,90,
2026-02-18,96.0,86,
2026-02-19,96.0,87,
2026-02-20,96.0,87,
2026-02-21,96.0,84,
2026-02-22,95.0,88,
2026-02-23,95.0,88,
2026-02-24,96.0,87,
2026-02-25,96.0,89,
2026-02-26,97.0,87,
2026-02-27,95.0,86,
2026-02-28,94.0,84,
2026-03-01,96.0,87,
2026-03-02,95.0,85,
2026-03-03,95.0,87,
2026-03-04,97.0,85,
2026-03-05,94.0,87,
2026-03-06,95.0,85,
2026-03-07,97.0,88,
2026-03-08,96.0,90,
2026-03-09,95.0,89,
2026-03-10,96.0,89,
2026-03-11,96.0,85,
2026-03-12,97.0,84,
2026-03-13,95.0,84,
2026-03-14,96.0,86,
2026-03-15,95.0,87,
2026-03-16,94.0,83,
2026-03-17,97.0,86,
2026-03-18,96.0,85,
2026-03-19,97.0,94,
2026-03-20,95.0,89,
2026-03-21,95.0,83,
2026-03-22,95.0,85,
2026-03-23,96.0,89,
