date,steps,daily_step_goal
2026-01-26,7377,10820
2026-01-27,3006,10480
2026-01-28,2450,8990
2026-01-29,4912,7690
2026-01-30,2948,7140
2026-01-31,14884,6310
2026-02-01,16034,7170
2026-02-02,13,8950
2026-02-03,52,8510
2026-02-04,150,9110
2026-02-05,8508,8430
2026-02-06,3361,8440
2026-02-07,3975,7940
2026-02-08,17537,7150
2026-02-09,9997,8190
2026-02-10,2988,8560
2026-02-11,171,9320
2026-02-12,2143,9800
2026-02-13,73,9040
2026-02-14,3110,9510
2026-02-15,17,8870
2026-02-16,73,9900
2026-02-17,63,9340
2026-02-18,315,9490
2026-02-19,5333,9750
2026-02-20,220,9310
2026-02-21,7388,10260
2026-02-22,23101,9980
2026-02-23,3440,11300
2026-02-24,2694,10520
2026-02-25,13388,8960
2026-02-26,133,9410
2026-02-27,100,9310
2026-02-28,3380,9580
2026-03-01,47,8960
2026-03-02,49,10390
2026-03-03,172,9900
2026-03-04,11221,10200
2026-03-05,87,10410
2026-03-06,3140,9620
2026-03-07,15613,8330
2026-03-08,17493,9060
2026-03-09,39,10750
2026-03-10,2178,10550
2026-03-11,216,8880
2026-03-12,2881,9220
2026-03-13,248,8590
2026-03-14,18742,8820
2026-03-15,26647,10810
2026-03-16,5077,12810
2026-03-17,27,12040
2026-03-18,11799,11520
2026-03-19,257,11550
2026-03-20,15757,11050
2026-03-21,5878,11520
2026-03-22,21185,10960
2026-03-23,204,11990
2026-04-01,11726,10200
2026-04-02,9472,10360
2026-04-03,3775,10280
2026-04-04,15991,8980
2026-04-05,5539,9690
2026-04-06,2114,9280
2026-04-07,4468,7850
2026-04-08,86,7180
2026-04-28,12572,7110
2026-04-29,2070,7660
2026-04-30,11072,7110
2026-05-01,2687,7510
2026-05-02,2152,7030
2026-05-03,27281,6060
2026-05-04,1456,8060
2026-05-05,315,7400
2026-05-06,39,7360
2026-05-20,6782,8360
2026-05-21,14180,8360
2026-05-22,12840,8950
2026-05-23,8928,9730
2026-05-24,29813,9650
2026-05-25,1739,11650
2026-05-26,2868,10660
2026-05-27,821,9110
2026-05-28,12795,9350
2026-05-29,4136,10040
2026-05-30,12666,9450
2026-05-31,3352,9780
2026-06-01,11396,9140
2026-06-02,15324,9370
2026-06-03,158,10560
