date,avg_stress,max_stress,stress_offset
2025-08-01,39,100,1
2025-08-02,36,96,1
2025-08-03,26,93,1
2025-08-04,22,98,1
2025-08-05,28,95,1
2025-08-06,20,87,1
2025-08-07,38,98,1
2025-08-08,35,97,1
2025-08-09,31,91,1
2025-08-10,31,93,1
2025-08-11,20,90,1
2025-08-12,32,99,1
2025-08-13,25,85,1
2025-08-14,23,85,1
2025-08-15,31,90,1
2025-08-16,21,86,1
2025-08-17,24,96,1
2025-08-18,28,96,1
2025-08-19,32,89,1
2025-08-20,35,94,1
2025-08-21,35,92,1
2025-08-22,44,92,1
2025-08-23,47,96,1
2025-08-24,42,97,1
2025-08-25,43,98,1
2025-08-26,31,93,1
2025-08-27,41,93,1
2025-08-28,45,97,1
2025-08-29,37,91,1
2025-08-30,37,98,1
2025-08-31,34,96,1
2025-09-01,26,98,1
2025-09-02,23,89,1
2025-09-03,29,94,1
2025-09-04,22,87,1
2025-09-05,37,98,1
2025-09-06,33,99,1
2025-09-07,24,84,1
2025-09-08,29,98,1
2025-09-09,27,91,1
2025-09-10,34,90,1
2025-09-11,36,90,1
2025-09-12,22,88,1
2025-09-13,30,92,1
2025-09-14,49,96,1
2025-09-15,25,90,1
2025-09-16,27,96,1
2025-09-17,35,93,1
2025-09-18,31,95,1
2025-09-19,48,99,1
2025-09-20,48,96,1
2025-09-21,27,84,1
2025-09-22,25,83,1
2025-09-23,32,92,1
2025-09-24,34,98,1
2025-09-25,46,92,1
2025-09-26,43,97,1
2025-09-27,45,95,1
2025-09-28,43,98,1
2025-09-29,28,89,1
2025-09-30,32,91,1
2025-10-01,32,98,1
2025-10-02,42,96,1
2025-10-03,38,87,1
2025-10-04,32,92,1
2025-10-05,30,86,1
2025-10-06,19,89,1
2025-10-07,39,93,1
2025-10-08,29,93,1
2025-10-09,29,90,1
2025-10-10,35,98,1
2025-10-11,45,99,1
2025-10-12,27,84,1
2025-10-13,31,97,1
2025-10-14,37,99,1
2025-10-15,28,96,1
2025-10-16,28,93,1
2025-10-17,34,96,1
2025-10-18,32,90,1
2025-10-19,26,90,1
2025-10-20,21,85,1
2025-10-21,51,99,1
2025-10-22,33,93,1
2025-10-23,31,86,1
2025-10-24,32,92,1
2025-10-25,28,90,1
2025-10-26,26,97,1
2025-10-27,35,96,1
2025-10-28,26,81,1
2025-10-29,30,93,1
2025-10-30,37,96,1
2025-10-31,36,98,1
2025-11-01,33,87,1
2025-11-02,36,97,1
2025-11-03,31,98,1
2025-11-04,30,91,1
2025-11-05,36,96,1
2025-11-06,63,97,1
2025-11-07,58,93,1
2025-11-08,42,93,1
2025-11-09,59,96,1
2025-11-10,35,90,1
2025-11-11,32,98,1
2025-11-12,29,94,1
2025-11-13,37,99,1
2025-11-14,27,96,1
2025-11-15,27,96,1
2025-11-16,27,93,1
2025-11-17,23,87,1
2025-11-18,21,85,1
2025-11-19,20,85,1
2025-11-20,27,90,1
2025-11-21,38,96,1
2025-11-22,23,79,1
2025-11-23,24,100,1
2025-11-24,31,96,1
2025-11-25,42,99,1
2025-11-26,35,93,1
2025-11-27,21,99,1
2025-11-28,34,90,1
2025-11-29,34,87,1
2025-11-30,19,87,1
2025-12-01,45,94,1
2025-12-02,29,86,1
2025-12-03,34,95,1
2025-12-04,39,95,1
2025-12-05,37,99,1
2025-12-06,32,93,1
2025-12-07,35,91,1
2025-12-08,30,89,1
2025-12-09,29,93,1
2025-12-10,33,97,1
2025-12-11,28,90,1
2025-12-12,31,87,1
